Index,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,51.67
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,57.00
47,female,group C,high school,standard,none,married,regularly,yes,,private,10-May,67,72,77,72.00
49,male,group C,high school,standard,completed,married,sometimes,,3,,10-May,82,84,82,82.67
50,male,group E,some college,standard,none,married,,no,3,school_bus,> 10,54,55,48,52.33
51,male,,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,70.67
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,48.00
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,10-May,88,78,75,80.33
54,female,,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90,83.67
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,10-May,33,41,43,39.00
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87,85.67
57,male,group D,associate's degree,standard,none,single,sometimes,no,2,private,10-May,52,55,49,52.00
58,male,group D,,standard,completed,married,regularly,no,1,private,> 10,61,60,60,60.33
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3,school_bus,> 10,0,17,10,9.00
61,male,group A,some high school,free/reduced,none,married,sometimes,yes,,school_bus,10-May,39,39,34,37.33
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5,private,10-May,62,61,55,59.33
64,female,group D,some high school,standard,none,married,sometimes,yes,0,school_bus,10-May,59,58,59,58.67
65,male,group B,some high school,standard,none,married,never,yes,1,private,< 5,63,62,58,61.00
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4,school_bus,10-May,45,37,37,39.67
67,female,group C,some college,standard,none,married,regularly,no,3,school_bus,10-May,61,73,75,69.67
68,male,group B,associate's degree,free/reduced,none,divorced,regularly,no,3,school_bus,,62,58,57,59.00
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3,school_bus,10-May,39,64,57,53.33
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64,61.00
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1,private,10-May,42,51,49,47.33
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3,school_bus,10-May,59,56,54,56.33
74,male,group C,some high school,standard,,married,sometimes,yes,2,private,< 5,47,48,40,45.00
75,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,10-May,44,41,38,41.00
76,male,group E,some high school,standard,none,,sometimes,no,5,school_bus,10-May,28,25,21,24.67
77,male,group A,,standard,completed,,regularly,yes,,,10-May,82,79,83,81.33
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73,70.00
79,female,group E,master's degree,standard,none,divorced,never,yes,1,school_bus,10-May,60,68,68,65.33
80,female,group B,associate's degree,standard,none,married,regularly,yes,0,private,> 10,49,50,52,50.33
81,male,group B,high school,free/reduced,none,married,sometimes,yes,0,private,,49,45,45,46.33
82,male,group A,some college,free/reduced,completed,married,sometimes,no,,school_bus,10-May,50,47,54,50.33
83,male,group E,associate's degree,standard,none,married,regularly,yes,0,private,10-May,74,64,64,67.33
84,male,group D,high school,free/reduced,none,married,never,,3,private,10-May,40,38,33,37.00
85,female,group C,some college,standard,none,divorced,sometimes,yes,0,private,10-May,73,80,82,78.33
86,female,group C,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86,80.00
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0,private,10-May,71,71,74,72.00
88,female,group A,some college,standard,none,divorced,regularly,yes,3,school_bus,< 5,57,69,67,64.33
89,female,group D,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83,81.67
91,male,group C,high school,free/reduced,none,divorced,regularly,no,4,,10-May,27,34,36,32.33
92,male,group C,high school,standard,none,divorced,sometimes,no,1,,< 5,68,77,69,71.33
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52,47.67
94,female,group B,some college,standard,none,married,regularly,yes,4,private,10-May,81,87,94,87.33
96,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,10-May,63,65,61,63.00
97,female,,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66,64.67
98,female,group D,some college,free/reduced,none,single,regularly,yes,2,,> 10,61,69,64,64.67
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,64,66,62,64.00
100,male,group B,some college,standard,none,married,sometimes,no,7,school_bus,10-May,79,67,67,71.00
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,10-May,68,74,74,72.00
102,female,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,10-May,87,92,91,90.00
103,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,10-May,61,44,48,51.00
104,male,,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94,94.00
105,female,group C,some college,standard,none,married,sometimes,yes,0,school_bus,10-May,58,67,72,65.67
106,female,group D,master's degree,standard,none,married,sometimes,no,3,private,10-May,87,100,100,95.67
107,male,group E,,standard,completed,single,sometimes,yes,0,school_bus,10-May,66,63,64,64.33
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2,school_bus,10-May,52,76,70,66.00
109,female,group B,some high school,standard,none,single,regularly,no,3,school_bus,10-May,72,64,73,69.67
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99,89.33
111,male,group C,high school,standard,none,single,regularly,no,6,,10-May,63,55,50,56.00
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0,school_bus,10-May,54,53,47,51.33
113,female,group D,some college,standard,none,married,never,yes,1,school_bus,< 5,47,56,51,51.33
114,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100,99.00
115,male,group C,high school,standard,none,married,sometimes,yes,4,private,10-May,84,77,74,78.33
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1,school_bus,10-May,72,83,79,78.00
117,female,group D,bachelor's degree,standard,none,married,never,no,2,private,10-May,75,80,77,77.33
118,female,group D,some high school,standard,none,single,regularly,yes,0,private,> 10,54,64,63,60.33
119,female,group C,some college,standard,none,divorced,sometimes,no,3,school_bus,10-May,55,69,65,63.00
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,10-May,76,90,86,84.00
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90,88.33
122,female,group C,some college,standard,completed,single,regularly,yes,1,,10-May,90,94,95,93.00
123,male,group D,high school,free/reduced,none,married,sometimes,no,3,private,,63,57,56,58.67
124,male,group E,some college,standard,none,single,regularly,no,3,school_bus,< 5,82,79,73,78.00
125,female,group B,high school,standard,none,single,never,yes,2,school_bus,> 10,86,94,85,88.33
126,male,group B,,standard,none,married,,no,3,private,10-May,72,68,67,69.00
127,male,group D,some college,standard,,married,regularly,no,3,school_bus,< 5,64,76,74,71.33
128,male,group D,master's degree,standard,none,single,never,yes,2,private,< 5,77,81,72,76.67
129,female,group A,bachelor's degree,standard,none,,regularly,yes,0,school_bus,10-May,52,49,52,51.00
130,male,group D,master's degree,standard,none,single,sometimes,no,1,school_bus,< 5,87,84,82,84.33
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40,42.67
132,male,,some college,free/reduced,completed,married,regularly,yes,2,school_bus,10-May,89,75,71,78.33
133,female,,some college,standard,completed,married,never,no,6,,< 5,70,78,80,76.00
134,male,group D,bachelor's degree,free/reduced,completed,married,sometimes,yes,1,private,> 10,76,80,76,77.33
135,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,,< 5,56,54,47,52.33
136,male,group B,some high school,standard,completed,divorced,sometimes,yes,1,private,10-May,51,54,41,48.67
137,male,group E,high school,standard,none,divorced,sometimes,yes,0,school_bus,< 5,67,54,54,58.33
138,female,group C,associate's degree,standard,,married,sometimes,yes,1,private,10-May,59,66,67,64.00
139,male,group D,some college,standard,completed,married,sometimes,yes,0,private,> 10,73,61,70,68.00
140,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,10-May,76,72,71,73.00
141,female,group C,some college,free/reduced,none,married,regularly,no,2,private,10-May,60,62,65,62.33
142,female,group E,some college,free/reduced,completed,single,regularly,,1,private,< 5,41,54,54,49.67
143,male,group A,high school,standard,none,single,sometimes,no,1,school_bus,10-May,57,43,47,49.00
144,male,group D,some college,standard,none,divorced,sometimes,yes,3,private,> 10,90,74,79,81.00
145,female,group C,some college,free/reduced,none,single,regularly,yes,1,school_bus,< 5,21,38,33,30.67
148,female,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,private,< 5,65,73,79,72.33
149,male,group E,associate's degree,free/reduced,completed,married,regularly,no,3,private,10-May,100,100,95,98.33
150,male,group A,some high school,standard,completed,married,sometimes,no,2,private,10-May,62,67,69,66.00
152,female,group B,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,57,68,64,63.00
153,male,group D,bachelor's degree,standard,none,married,sometimes,no,1,,10-May,54,49,47,50.00
154,male,group D,some high school,standard,none,single,never,no,2,,< 5,58,65,58,60.33
155,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,< 5,69,88,88,81.67
156,female,group E,high school,free/reduced,completed,married,regularly,yes,1,school_bus,10-May,67,75,79,73.67
157,male,group B,,free/reduced,none,,sometimes,yes,2,school_bus,< 5,58,59,58,58.33
158,female,group B,associate's degree,standard,,divorced,regularly,yes,2,private,10-May,62,87,89,79.33
159,male,group D,associate's degree,free/reduced,none,married,regularly,no,3,school_bus,> 10,70,63,66,66.33
160,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,10-May,82,78,74,78.00
161,female,group E,some college,free/reduced,completed,married,sometimes,yes,3,school_bus,10-May,75,88,85,82.67
162,male,group B,master's degree,free/reduced,none,single,never,no,2,school_bus,10-May,48,53,52,51.00
163,male,group C,high school,standard,none,divorced,sometimes,yes,1,school_bus,10-May,52,53,49,51.33
164,female,group E,master's degree,standard,none,married,never,yes,3,private,< 5,76,89,86,83.67
165,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,0,school_bus,10-May,96,100,100,98.67
166,male,group C,high school,free/reduced,completed,single,sometimes,yes,5,private,10-May,53,51,51,51.67
167,female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83,74.67
168,female,group B,high school,standard,completed,married,regularly,yes,2,private,10-May,70,84,79,77.67
170,male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77,76.00
171,male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76,84.33
172,female,group D,some college,standard,none,single,never,yes,3,school_bus,10-May,76,84,78,79.33
173,female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,63,67,70,66.67
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52,47.67
175,female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,10-May,81,92,89,87.33
176,female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56,51.00
177,female,group C,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77,74.33
178,female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,10-May,54,72,65,63.67
179,female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,10-May,99,100,100,99.67
180,male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75,67.67
181,female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,10-May,46,64,66,58.67
182,female,group E,high school,standard,none,married,sometimes,yes,3,private,,50,50,47,49.00
183,female,group D,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68,66.00
185,male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62,62.67
186,male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62,70.00
187,male,group D,some high school,standard,completed,married,sometimes,no,4,private,10-May,62,66,68,65.33
188,male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45,47.67
189,female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85,81.67
190,female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,66,65,69,66.67
191,male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77,77.00
192,female,group B,some high school,standard,none,single,sometimes,no,3,private,,62,64,66,64.00
193,male,group D,some college,standard,completed,married,regularly,yes,4,,,79,62,63,68.00
194,female,group C,master's degree,standard,completed,,regularly,yes,1,school_bus,< 5,69,85,87,80.33
195,male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52,55.33
196,male,group C,,free/reduced,completed,married,never,yes,1,school_bus,10-May,57,67,63,62.33
197,male,group E,high school,free/reduced,none,married,,no,7,private,> 10,56,56,52,54.67
198,female,group B,some college,free/reduced,none,widowed,regularly,yes,3,,> 10,47,54,57,52.67
199,female,group B,bachelor's degree,free/reduced,,married,regularly,yes,3,private,10-May,80,80,77,79.00
200,female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86,78.33
201,female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75,72.33
202,male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,69,77,69,71.67
203,female,,associate's degree,standard,none,,regularly,yes,2,school_bus,10-May,58,70,69,65.67
204,male,group C,some college,standard,none,single,regularly,yes,1,,< 5,58,40,42,46.67
205,male,group D,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76,72.00
206,male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,10-May,84,62,63,69.67
207,male,group E,high school,standard,completed,married,regularly,no,2,school_bus,10-May,83,81,77,80.33
208,female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76,76.33
209,female,group B,some college,free/reduced,,single,sometimes,no,2,,,58,61,66,61.67
210,male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77,77.00
211,male,group C,some college,free/reduced,,married,sometimes,yes,3,school_bus,10-May,35,28,27,30.00
212,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,10-May,42,62,60,54.67
213,male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,10-May,61,51,57,56.33
214,male,group E,high school,standard,,married,sometimes,yes,1,private,10-May,87,91,81,86.33
215,male,group B,some high school,standard,completed,,regularly,no,2,private,10-May,86,84,76,82.00
216,female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86,83.33
217,female,group C,high school,free/reduced,,married,regularly,no,3,,< 5,33,41,39,37.67
218,male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68,69.00
219,male,group B,some high school,standard,completed,single,never,no,1,,10-May,59,55,54,56.00
220,female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,10-May,57,69,75,67.00
221,male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74,83.00
222,female,group C,some high school,free/reduced,,divorced,sometimes,no,3,,10-May,55,65,62,60.67
223,male,group D,some high school,standard,none,married,regularly,no,3,school_bus,10-May,88,81,76,81.67
224,female,group B,associate's degree,standard,completed,divorced,regularly,,3,school_bus,> 10,55,67,76,66.00
225,female,group E,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52,50.00
226,female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,10-May,72,72,71,71.67
227,male,group D,high school,standard,none,single,regularly,yes,0,school_bus,10-May,58,50,55,54.33
228,male,group A,,free/reduced,none,divorced,sometimes,no,4,school_bus,10-May,68,72,64,68.00
229,female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98,96.00
230,male,group D,some college,standard,none,married,regularly,yes,0,,10-May,78,64,67,69.67
231,male,group C,associate's degree,standard,none,married,regularly,,1,private,10-May,47,43,43,44.33
232,female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,67,86,83,78.67
233,male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79,87.00
234,male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85,84.33
235,male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80,80.33
236,male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67,64.67
237,female,group D,some high school,standard,,married,sometimes,yes,4,school_bus,< 5,62,59,72,64.33
238,male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53,54.33
239,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,10-May,84,80,80,81.33
240,male,group D,high school,free/reduced,completed,divorced,,yes,1,private,> 10,75,69,67,70.33
241,female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,10-May,82,84,85,83.67
243,male,group E,some college,standard,,single,regularly,no,2,school_bus,< 5,58,50,43,50.33
244,male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69,72.00
245,male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69,75.00
246,male,group E,associate's degree,standard,,married,regularly,no,2,school_bus,10-May,91,77,75,81.00
247,female,group B,high school,standard,completed,single,sometimes,yes,1,private,10-May,58,70,68,65.33
248,female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60,62.00
249,male,,high school,standard,none,married,sometimes,no,2,school_bus,> 10,70,60,54,61.33
250,male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,10-May,47,49,49,48.33
251,female,group D,some college,free/reduced,none,married,regularly,,4,school_bus,< 5,70,82,83,78.33
252,female,group B,some high school,standard,completed,single,sometimes,yes,3,private,10-May,60,70,70,66.67
253,male,group D,master's degree,standard,none,married,sometimes,no,3,school_bus,,80,80,72,77.33
254,male,group D,high school,standard,none,married,sometimes,yes,0,private,10-May,54,52,52,52.67
255,female,group E,some college,standard,none,single,sometimes,no,1,school_bus,10-May,62,73,70,68.33
256,female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66,66.33
257,male,,associate's degree,standard,completed,married,regularly,,1,school_bus,10-May,80,78,78,78.67
260,female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78,74.33
261,male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,10-May,79,79,78,78.67
262,female,group C,some high school,free/reduced,none,married,regularly,no,2,private,10-May,45,50,52,49.00
263,female,group E,high school,standard,none,single,sometimes,yes,1,private,10-May,99,93,90,94.00
264,male,group D,high school,standard,none,married,sometimes,no,2,private,10-May,76,73,68,72.33
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40,46.00
266,female,,bachelor's degree,standard,none,married,sometimes,no,2,school_bus,< 5,61,73,79,71.00
267,female,group D,high school,standard,none,married,regularly,no,3,school_bus,10-May,71,73,78,74.00
268,female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99,95.33
269,female,group E,some college,free/reduced,none,married,sometimes,no,2,school_bus,,71,76,70,72.33
270,male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,10-May,69,63,61,64.33
271,male,group C,some college,standard,,single,regularly,yes,1,,< 5,57,48,42,49.00
272,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,10-May,48,53,59,53.33
273,female,group D,some college,standard,none,married,sometimes,no,2,private,10-May,65,70,71,68.67
274,male,group B,some college,standard,completed,widowed,,yes,1,school_bus,< 5,85,83,74,80.67
275,male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,10-May,83,78,73,78.00
276,female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91,87.67
277,female,group E,,standard,completed,single,sometimes,no,4,school_bus,< 5,57,62,73,64.00
278,female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,10-May,65,86,80,77.00
279,male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,10-May,73,56,57,62.00
281,male,group D,high school,standard,none,divorced,sometimes,no,,private,10-May,45,48,46,46.33
282,female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,10-May,75,80,86,80.33
283,female,group D,some college,free/reduced,completed,,never,yes,2,school_bus,10-May,67,76,76,73.00
284,female,,some high school,standard,none,married,regularly,yes,0,private,< 5,36,45,46,42.33
285,male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,10-May,78,80,79,79.00
286,male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,10-May,99,83,90,90.67
287,female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80,77.00
288,male,group B,bachelor's degree,free/reduced,none,single,sometimes,yes,0,,< 5,85,73,74,77.33
289,male,,some high school,standard,completed,married,sometimes,yes,1,school_bus,> 10,79,77,78,78.00
290,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,10-May,76,70,68,71.33
291,male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68,74.00
292,male,group C,some high school,standard,completed,married,never,yes,1,private,10-May,61,59,55,58.33
293,female,group E,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,66,74,76,72.00
294,male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,10-May,80,78,82,80.00
295,male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59,62.00
296,male,,some high school,standard,completed,widowed,regularly,no,2,school_bus,10-May,47,41,44,44.00
297,male,,associate's degree,standard,completed,single,regularly,no,1,school_bus,10-May,73,75,69,72.33
298,male,group C,,free/reduced,completed,single,regularly,no,2,private,< 5,39,45,50,44.67
299,male,group D,associate's degree,free/reduced,none,married,regularly,no,2,,< 5,89,86,75,83.33
300,male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77,76.00
301,male,group D,some high school,free/reduced,,divorced,regularly,no,4,school_bus,< 5,55,53,52,53.33
302,female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80,76.33
303,male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,10-May,82,77,65,74.67
304,female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,10-May,76,76,85,79.00
305,male,group A,some college,standard,none,,sometimes,yes,7,private,10-May,69,67,69,68.33
306,male,group E,some college,standard,completed,divorced,regularly,yes,5,private,10-May,100,88,83,90.33
307,male,group C,some high school,standard,none,single,regularly,no,2,,10-May,52,52,45,49.67
308,female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70,66.33
309,female,group D,high school,free/reduced,,single,regularly,yes,5,,< 5,48,56,52,52.00
310,female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,10-May,73,76,80,76.33
311,male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,62,58,54,58.00
312,male,group D,bachelor's degree,standard,completed,single,sometimes,yes,0,private,,67,61,68,65.33
313,female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70,69.33
315,male,group C,high school,standard,none,married,regularly,no,3,private,10-May,73,66,66,68.33
316,female,group D,master's degree,standard,completed,widowed,never,yes,3,private,10-May,74,80,88,80.67
317,male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,10-May,83,72,78,77.67
